  File "C:\Users\ADMIN\Desktop\anti_gravity\anti\backend\venv\Lib\site-packages\pymysql\protocol.py", line 219, in raise_for_error
    err.raise_mysql_exception(self._data)
    ~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^
  File "C:\Users\ADMIN\Desktop\anti_gravity\anti\backend\venv\Lib\site-packages\pymysql\err.py", line 150, in raise_mysql_exception
    raise errorclass(errno, errval)
django.db.utils.IntegrityError: (1452, 'Cannot add or update a child row: a foreign key constraint fails (`castings`.`purchases_purchaseorder`, CONSTRAINT `purchases_purchaseor_supplier_id_ac3d075e_fk_inventory` FOREIGN KEY (`supplier_id`) REFERENCES `inventory_supplier` (`id`))')
ERROR 2026-04-06 23:30:55,309 log "POST /api/purchases/purchase-orders/ HTTP/1.1" 500 32431
INFO 2026-04-06 23:34:08,617 log "OPTIONS /api/purchases/purchase-orders/last_price/?material_id=26 HTTP/1.1" 200 0
WARNING 2026-04-06 23:34:08,619 log Unauthorized: /api/purchases/purchase-orders/last_price/
WARNING 2026-04-06 23:34:08,620 log "GET /api/purchases/purchase-orders/last_price/?material_id=26 HTTP/1.1" 401 172
INFO 2026-04-06 23:34:10,747 log "POST /api/token/ HTTP/1.1" 200 558
INFO 2026-04-06 23:34:11,629 log "GET /api/purchases/purchase-orders/?page=1&page_size=10 HTTP/1.1" 200 52
INFO 2026-04-06 23:34:11,637 log "GET /api/inventory/suppliers/?page_size=100 HTTP/1.1" 200 1292
INFO 2026-04-06 23:34:11,641 log "GET /api/purchases/purchase-orders/?page=1&page_size=10 HTTP/1.1" 200 52
INFO 2026-04-06 23:34:11,650 log "GET /api/inventory/suppliers/?page_size=100 HTTP/1.1" 200 1292
INFO 2026-04-06 23:34:11,679 log "GET /api/inventory/raw-materials/?page_size=100 HTTP/1.1" 200 5435
